FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
"int hmac_init(hmac_state * hmac, int hash, const unsigned char * key, unsigned long keylen)","1,0576923","0,057692308",1,0,52,3,3,1,1,1,0,0,False
"int hash_memory(int hash, const unsigned char * in, unsigned long inlen, unsigned char * out, unsigned long * outlen)","1,0909091","0,09090909",1,0,33,3,3,1,1,1,0,0,False
int hkdf_test(void),"9,336869","6,908297","1,2857143","1,1428572",229,226,777,7,9,6,8,3,True
"static unsigned long _rng_nix(unsigned char * buf, unsigned long len, void( * callback)(void))","5,75","3,5","1,5","0,75",32,28,64,4,6,3,3,2,True
static void der_cacert_test(void),"1,0684931","0,06849315",1,0,73,5,5,1,1,1,0,0,False
"int gcm_add_iv(gcm_state * gcm, const unsigned char * IV, unsigned long IVlen)","1,2553191","0,25531915",1,0,47,12,12,1,1,1,0,0,False
"int ed25519_sign(const unsigned char * msg, unsigned long msglen, unsigned char * sig, unsigned long * siglen, const curve25519_key * private_key)","1,0967742","0,09677419",1,0,31,3,3,1,1,1,0,0,False
int hmac_test(void),"14,843969","12,920892","1,0769231","0,84615386",493,490,1363,13,14,4,11,3,True
"int sober128_stream_crypt(sober128_state * st, const unsigned char * in, unsigned long inlen, unsigned char * out)","1,4210527","0,42105263",1,0,57,24,24,1,1,1,0,1,False
int blake2smac_test(void),"3,4793105","1,9793104","1,5",0,290,287,573,2,3,2,0,3,False
"int xtea_setup(const unsigned char * key, int keylen, int num_rounds, symmetric_key * skey)","1,12","0,12",1,0,25,3,3,1,1,1,0,0,False
int fortuna_ready(prng_state * prng),"2,1666667","0,6666667","1,5",0,15,5,9,2,3,2,0,1,False
"int der_encode_asn1_length(unsigned long len, unsigned char * out, unsigned long * outlen)","4,633333","1,1333333","3,5",0,90,51,199,2,7,3,0,3,True
int whirlpool_test(void),"3,425926","1,925926","1,5",0,81,78,155,2,3,2,0,3,False
int file_test(void),"11,577419","9,677419","1,1","0,8",93,90,244,10,11,10,8,1,True
static void _unregister_all(void),"48,893757","47,812122","1,0204082","0,06122449",165,161,170,49,50,49,3,1,True
int blake2bmac_test(void),"3,4793105","1,9793104","1,5",0,290,287,573,2,3,2,0,3,False
"void copy_or_zeromem(const unsigned char * src, unsigned char * dest, unsigned long len, int coz)","3,6742425","2,4242425",1,"0,25",33,20,23,4,4,2,1,0,True
"int rsa_verify_hash_ex(const unsigned char * sig, unsigned long siglen, const unsigned char * hash, unsigned long hashlen, int padding, int hash_idx, unsigned long saltlen, int * stat, const rsa_key * key)","1,1090909","0,10909091",1,0,110,6,6,2,2,1,0,0,False
"int pmac_memory_multi(int cipher, const unsigned char * key, unsigned long keylen, unsigned char * out, unsigned long * outlen, const unsigned char * in, unsigned long inlen, ...)","1,0666667","0,06666667",1,0,45,3,3,1,1,1,0,0,False
static ulong64 rdtsc(void),"22,631485","12,093023","6,4615383","4,076923",43,40,465,13,84,14,53,44,True
static void time_macs_(unsigned long MAC_SIZE),"10,919872","7,794872","2,375","0,75",117,114,784,8,19,7,6,1,True
"int pmac_done(pmac_state * pmac, unsigned char * out, unsigned long * outlen)","1,0857143","0,08571429",1,0,35,3,3,1,1,1,0,0,False
"int ccm_memory(int cipher, const unsigned char * key, unsigned long keylen, symmetric_key * uskey, const unsigned char * nonce, unsigned long noncelen, const unsigned char * header, unsigned long headerlen, unsigned char * pt, unsigned long ptlen, unsigned char * ct, unsigned char * tag, unsigned long * taglen, int direction)","1,840467","0,8404669",1,0,257,54,54,4,4,2,0,0,True
static void time_encmacs_(unsigned long MAC_SIZE),"11,21606","7,8410597","2,25","1,125",151,148,882,8,18,7,9,1,True
"int sha1_done(hash_state * md, unsigned char * out)","1,1","0,1",1,0,30,3,3,1,1,1,0,0,False
int anubis_test(void),"6,2123823","3,9623826","1,5","0,75",319,316,1066,4,6,3,3,6,True
"int blake2s_done(hash_state * md, unsigned char * out)","1,1304348","0,13043478",1,0,23,3,3,1,1,1,0,0,False
int pkcs_5_test(void),"8,740477","6,883333","1,1428572","0,71428573",180,177,411,7,8,4,5,3,True
int sober128_test(void),"3,35","1,85","1,5",0,40,37,73,2,3,2,0,3,False
"int rand_bn_bits(void * N, int bits, prng_state * prng, int wprng)","1,125","0,125",1,0,24,3,3,1,1,1,0,0,False
int misc_test(void),"9,823529","8,823529",1,0,34,30,30,10,10,10,0,0,True
"int lrw_setiv(const unsigned char * IV, unsigned long len, symmetric_LRW * lrw)","4,763158","2,7631578","1,4","0,6",38,21,40,5,7,3,3,2,True
"int sha512_256_done(hash_state * md, unsigned char * out)","1,2","0,2",1,0,15,3,3,1,1,1,0,0,False
int des3_test(void),"3,3947368","1,8947369","1,5",0,57,54,107,2,3,2,0,3,False
"int lrw_process(const unsigned char * pt, unsigned char * ct, unsigned long len, int mode, symmetric_LRW * lrw)","6,47343","4,695652","1,4444444","0,33333334",69,36,67,9,13,3,3,4,True
int register_all_ciphers(void),"23,935896","22,76923","1,0416666","0,125",78,74,83,24,25,24,3,1,True
int blake2s_256_test(void),"3,3666668","1,8666667","1,5",0,45,42,83,2,3,2,0,3,False
"int ocb_done_decrypt(ocb_state * ocb, const unsigned char * ct, unsigned long ctlen, unsigned char * pt, const unsigned char * tag, unsigned long taglen, int * stat)","1,0909091","0,09090909",1,0,33,3,3,1,1,1,0,0,False
"void gcm_mult_h(const gcm_state * gcm, unsigned char * I)","8,032258","5,032258","1,5","1,5",31,26,82,6,9,4,9,3,True
int sha384_test(void),"3,35","1,85","1,5",0,40,37,73,2,3,2,0,3,False
"int compare_testvector(const void * is, const unsigned long is_len, const void * should, const unsigned long should_len, const char * what, int which)","4,0833335","1,75",2,"0,33333334",24,14,38,3,6,3,1,1,True
int crypt_mp_init(const char * mpi),"6,1","4,9333334",1,"0,16666667",45,37,44,6,6,5,1,0,True
"void lv_ta_set_text(lv_obj_t * ta, const char * txt)","2,1923077","0,6923077","1,5",0,52,18,22,2,3,2,0,1,False
"void lv_tileview_set_tile_act(lv_obj_t * tileview, lv_coord_t x, lv_coord_t y, lv_anim_enable_t anim)","2,0545454","1,0545454",1,0,55,29,29,2,2,1,0,0,False
static void bar_init(void),"1,909091","0,90909094",1,0,33,30,30,1,1,1,0,0,False
bool lv_debug_check_style(const lv_style_t * style),"1,5454545","0,54545456",1,0,11,6,6,1,1,1,0,0,False
"static void lv_draw_rect_main_corner(const lv_area_t * coords, const lv_area_t * mask, const lv_style_t * style, lv_opa_t opa_scale)","2,3933055","1,3933055",1,0,239,111,111,3,3,1,0,0,True
"static size_t _ftoa(out_fct_type out, char * buffer, size_t idx, size_t maxlen, double value, unsigned int prec, unsigned int width, unsigned int flags)","1,6041666","0,104166664","1,5",0,96,5,9,2,3,2,0,1,False
void lv_theme_set_current(lv_theme_t * th),"6,1588235","4,5588236","1,2","0,4",34,31,60,5,6,3,2,1,True
"static void lv_draw_rect_border_corner(const lv_area_t * coords, const lv_area_t * mask, const lv_style_t * style, lv_opa_t opa_scale)","3,6581469","2,6581469",1,0,313,208,208,4,4,1,0,0,True
"static lv_res_t lv_img_decoder_built_in_line_indexed(lv_img_decoder_dsc_t * dsc, lv_coord_t x, lv_coord_t y, lv_coord_t len, uint8_t * buf)","14,020914","8,57647","2,8888888","2,5555556",85,81,165,9,26,4,23,8,True
"static lv_res_t lv_list_signal(lv_obj_t * list, lv_signal_t sign, void * param)","5,4672413","4,2672415",1,"0,2",116,99,102,5,5,1,1,0,True
static void bar_init(void),"1,5714285","0,5714286",1,0,7,4,4,1,1,1,0,0,False
void lv_mem_init(void),"4,6904764","2,357143","1,3333334",1,14,11,21,3,4,3,3,1,True
void lv_mem_free(const void * data),"7,763393","5,90625","1,2857143","0,5714286",32,27,56,7,9,5,4,2,True
"void lv_label_get_letter_pos(const lv_obj_t * label, uint16_t char_id, lv_point_t * pos)","2,0070422","0,5070422","1,5",0,71,18,23,2,3,2,0,1,False
"lv_res_t lv_img_decoder_built_in_open(lv_img_decoder_t * decoder, lv_img_decoder_dsc_t * dsc)","7,9310746","6,0560746","1,5","0,375",107,81,114,8,12,4,3,4,True
void * lv_mem_alloc(size_t size),"7,3920264","5,534884","1,4285715","0,42857143",43,34,73,7,10,5,3,3,True
static void btnm_init(void),"1,90625","0,90625",1,0,32,29,29,1,1,1,0,0,False
"bool lv_sw_toggle(lv_obj_t * sw, lv_anim_enable_t anim)","1,2307693","0,23076923",1,0,13,3,3,1,1,1,0,0,False
"void lv_label_set_text_sel_start(lv_obj_t * label, uint16_t index)","2,8333335","1,3333334","1,5",0,12,8,13,2,3,2,0,1,False
static void lmeter_init(void),"2,8","0,8",2,0,15,12,24,1,2,2,0,1,False
static void chart_init(void),"1,5","0,5",1,0,6,3,3,1,1,1,0,0,False
"lv_theme_t * lv_theme_templ_init(uint16_t hue, lv_font_t * font)","1,0869565","0,08695652",1,0,46,4,4,1,1,1,0,0,False
static void gauge_init(void),"2,8","0,8",2,0,15,12,24,1,2,2,0,1,False
static void page_init(void),"1,625","0,625",1,0,8,5,5,1,1,1,0,0,False
static void chart_init(void),"1,5","0,5",1,0,6,3,3,1,1,1,0,0,False
uint16_t lv_tabview_get_anim_time(const lv_obj_t * tabview),"2,7727273","1,2727273","1,5",0,11,7,12,2,3,2,0,1,False
"void lv_draw_px(lv_coord_t x, lv_coord_t y, const lv_area_t * mask_p, lv_color_t color, lv_opa_t opa)","2,3529413","0,3529412",2,0,34,6,12,2,4,2,0,0,False
static void list_init(void),"2,9117646","0,9117647",2,0,34,31,62,1,2,2,0,1,False
"void lv_ta_set_pwd_show_time(lv_obj_t * ta, uint16_t time)","1,3333334","0,33333334",1,0,9,3,3,1,1,1,0,0,False
"static lv_res_t lv_img_decoder_built_in_line_alpha(lv_img_decoder_dsc_t * dsc, lv_coord_t x, lv_coord_t y, lv_coord_t len, uint8_t * buf)","14,057346","8,612903","2,8888888","2,5555556",93,89,174,9,26,4,23,8,True
"void lv_btn_set_ink_out_time(lv_obj_t * btn, uint16_t time)","3,8846154","1,3846154","2,5",0,13,9,26,2,5,3,0,1,False
static void slider_init(void),"2,8125","0,8125",2,0,16,13,26,1,2,2,0,1,False
"static lv_opa_t antialias_get_opa_circ(lv_coord_t seg, lv_coord_t px_id, lv_opa_t opa)","3,2857144","2,2857144",1,0,21,12,12,4,4,1,0,0,True
"static void wordtree_compress(spellinfo_T * spin, wordnode_T * root)","1,4","0,4",1,0,30,6,6,2,2,1,0,1,True
void signal_init(void),"4,5","3,5",1,0,30,21,21,5,5,5,0,1,True
"static void f_resolve(typval_T * argvars, typval_T * rettv, FunPtr fptr)","6,0610237","3,8110237","1,5","0,75",127,121,360,4,6,3,3,2,True
"void os_copy_fullenv(char * * env, size_t env_size)","5,886364","3,6363637","1,5","0,75",33,30,50,4,6,3,3,2,True
"static uint8_t * command_line_enter(int firstc, long count, int indent)","1,0146341","0,014634146",1,0,205,3,3,1,1,1,0,1,False
void hash_debug_results(void),"1,75","0,75",1,0,12,9,9,1,1,1,0,0,False
"char * vim_strsave_fnameescape(const char * const fname, const bool shell) FUNC_ATTR_NONNULL_RET FUNC_ATTR_MALLOC FUNC_ATTR_NONNULL_ALL",3,"1,5","1,5",0,32,24,37,2,3,2,0,1,True
"static void exit_cb(uv_process_t * handle, int64_t status, int term_signal)","1,3333334","0,33333334",1,0,9,3,3,1,1,1,0,0,False
void signal_teardown(void),"1,8571429","0,85714287",1,0,14,6,6,2,2,2,0,0,False
static time_t swapfile_info(char_u * fname),"1,2666667","0,26666668",1,0,75,10,10,2,2,1,0,0,False
"static bool v_do_log_to_file(FILE * log_file, int log_level, const char * context, const char * func_name, int line_num, bool eol, const char * fmt, va_list args)","1,117647","0,11764706",1,0,51,6,6,1,1,1,0,1,False
char * os_getenvname_at_index(size_t index),"6,023585","3,7735848","1,5","0,75",53,50,79,4,6,3,3,2,True
"int readfile(char_u * fname, char_u * sfname, linenr_T from, linenr_T lines_to_skip, linenr_T lines_to_read, exarg_T * eap, int flags)","7,3187876","5,9021206","1,0833334","0,33333334",1226,201,275,36,39,11,12,7,True
"static void f_debugbreak(typval_T * argvars, typval_T * rettv, FunPtr fptr)","2,5",1,"1,5",0,20,10,14,2,3,2,0,1,False
"static void f_getftype(typval_T * argvars, typval_T * rettv, FunPtr fptr)","13,828571","11,4","1,1428572","1,2857143",70,57,159,14,16,13,18,2,True
"bool loop_close(Loop * loop, bool wait)","1,9736842","0,47368422","1,5",0,38,9,17,2,3,2,0,1,False
static wordnode_T * get_wordnode(spellinfo_T * spin),"1,2352941","0,23529412",1,0,17,4,4,1,1,1,0,0,False
"int setfname(buf_T * buf, char_u * ffname, char_u * sfname, bool message)","1,0576923","0,057692308",1,0,52,3,3,1,1,1,0,0,False
"void ExpandOldSetting(int * num_file, char_u * * * file)","1,3793104","0,37931034",1,0,29,11,11,1,1,1,0,0,False
void lang_init(void),"4,8","2,8",1,1,45,42,51,3,3,3,3,0,True
static void command_line_scan(mparm_T * parmp),"1,0275862","0,027586207",1,0,435,6,6,2,2,2,0,0,False
int vim_ispathsep(int c),"5,25",3,"1,5","0,75",12,9,26,4,6,3,3,2,True
"int open_buffer(int read_stdin, exarg_T * eap, int flags)","2,8204722","1,2204725",1,"0,6",127,31,41,5,5,4,3,0,True
char * get_mess_lang(void),"5,25",3,"1,5","0,75",20,15,34,4,6,3,3,2,True
size_t os_get_fullenv_size(void),"5,509259","3,2592592","1,5","0,75",27,22,42,4,6,3,3,2,True
void init_homedir(void),"2,6666665","1,6666666",1,0,54,45,45,2,2,2,0,0,False
"static void st_error(int * postfix, int * end, int * p)","5,828947","3,5789473","1,25",1,38,34,67,4,5,3,4,1,True
int os_set_cloexec(const int fd),"1,8181818","0,8181818",1,0,22,18,18,1,1,1,0,0,False
char_u * get_past_head(const char_u * path),"1,3846154","0,3846154",1,0,13,5,5,1,1,1,0,0,False
void set_init_1(void),"4,135928","2,035928","1,8","0,3",167,34,71,10,18,6,3,5,True
static int qf_get_nextline(qfstate_T * state),"1,1666666","0,16666667",1,0,30,5,5,1,1,1,0,0,False
"void ExpandEscape(expand_T * xp, char_u * str, int numfiles, char_u * * files, int options)","2,0507247","0,7173913","1,3333334",0,46,11,16,3,4,2,0,1,False
static int cs_create_connection(size_t i),"11,245198","9,06338","1,4545455","0,72727275",142,117,207,11,16,4,8,4,True
"int os_proc_children(int ppid, int * * proc_list, size_t * proc_count)","12,704348","8,804348","2,5","1,4",92,81,354,10,25,7,14,8,True
void simplify_filename(char_u * filename),"1,0363636","0,036363635",1,0,110,4,4,1,1,1,0,0,False
"bool msgpack_rpc_to_object(const msgpack_object * const obj, Object * const arg) FUNC_ATTR_NONNULL_ALL","1,7711865","0,27118644","1,5",0,177,12,20,4,6,2,0,2,False
"char_u * string_convert_ext(const vimconv_T * const vcp, char_u * ptr, size_t * lenp, size_t * unconvlenp)","1,0420169","0,042016808",1,0,119,5,5,1,1,1,0,0,False
"static void cs_release_csp(size_t i, int freefnpp)","8,311688","5,4545455","1,4285715","1,4285715",77,60,130,7,10,5,10,3,True
int os_nodetype(const char * name) FUNC_ATTR_NONNULL_ALL,"4,4","2,7333333","1,3333334","0,33333334",45,41,74,3,4,3,1,3,True
bool terminfo_is_bsd_console(const char * term),"4,3846154","1,3846154","2,5","0,5",13,9,39,2,5,4,1,0,True
void u_blockfree(buf_T * buf),"1,2727273","0,27272728",1,0,11,3,3,1,1,1,0,1,False
"static int path_to_absolute(const char_u * fname, char_u * buf, size_t len, int force)","1,1388888","0,1388889",1,0,36,5,5,1,1,1,0,0,False
char * fix_fname(const char * fname),"5,15","3,4","1,25","0,5",20,17,39,4,5,4,2,1,True
"int path_fnamencmp(const char * const fname1, const char * const fname2, size_t len) FUNC_ATTR_NONNULL_ALL FUNC_ATTR_PURE FUNC_ATTR_WARN_UNUSED_RESULT","3,1551723","1,6551725","1,5",0,29,24,31,2,3,2,0,1,False
"static char_u * efmpat_to_regpat(const char_u * efmpat, char_u * regpat, efm_T * efminfo, int idx, int round, char_u * errmsg, size_t errmsglen) FUNC_ATTR_NONNULL_ALL","1,1153846","0,115384616",1,0,52,6,6,1,1,1,0,0,False
extern uint64_t tuklib_physmem(void),"24,349722","12,195876","11,153846",1,97,91,1183,13,145,14,13,66,True
unsigned __stdcall #else void #endif ptw32_threadStart(void * vthreadParms),"18,462828","14,756945","2,8235295","0,88235295",144,125,487,17,48,10,15,15,True
"void ptw32_throw(DWORD exception) #if defined(__CLEANUP_CXX) throw(ptw32_exception_cancel, ptw32_exception_exit) #endif","13,254974","9,671641","2,5","1,0833334",67,54,228,12,30,9,13,9,True
INLINE #endif DWORD ptw32_relmillisecs(const struct timespec * abstime),"12,078788","4,7454543",4,"3,3333333",55,29,139,9,36,6,30,6,True
void RTMP_TLS_Init(RTMP * r),"11,851351","5,3513513","3,5",3,37,33,173,6,21,6,18,10,True
double AMF_DecodeNumber(const char * data),"10,0986395","5,265306","2,8333333",2,49,43,251,6,17,5,12,3,True
"char * AMF_EncodeNumber(char * output, char * outend, double dVal)","9,991228","5,1578946","2,8333333",2,57,49,287,6,17,5,12,3,True
void RTMP_TLS_LoadCerts(RTMP * r),"8,570895","3,8208954","2,5","2,25",67,64,209,4,10,5,9,3,True
void os_set_thread_name(const char * name),"7,8333335","5,3333335","1,5",1,27,24,67,6,9,3,6,3,True
extern uint32_t tuklib_cpucores(void),"6,8461537","3,846154","2,4","0,6",26,20,69,5,12,5,3,4,True
void * canceledThread(void * arg),"6,7536235","2,0869565","3,3333333","1,3333334",23,16,46,3,10,4,4,6,True
void * exceptionedThread(void * arg),"6,7066665","2,04","3,3333333","1,3333334",25,17,46,3,10,4,4,6,True
static bool load_libvlc_module(void),"5,8397436","3,5897436","1,5","0,75",39,35,65,4,6,3,3,2,True
"int RTMP_Connect1(RTMP * r, RTMPPacket * cp)","5,5444446","2,9444444","1,8","0,8",90,53,155,5,9,4,4,4,True
bool obs_module_load(void),"4,666667","2,6666667","1,25","0,75",33,22,41,4,5,4,3,2,True
"int xnu_attach(RDebug * dbg, int pid)","6,5238094","4,5238094","1,4","0,6",21,19,38,5,7,4,3,3,True
R_API void r_debug_trace_reset(RDebug * dbg),"1,4","0,4",1,0,10,4,4,1,1,1,0,0,False
"static RDebugReasonType r_debug_native_wait(RDebug * dbg, int pid) #3","41,596428","30,625","3,9714286",7,104,91,403,35,139,25,245,71,True
"R_API int r_sandbox_system(const char * x, int n)","7,6354837","4,435484","1,4","1,8",62,55,162,5,7,4,9,2,True
"R_API void r_mem_memzero(void * dst, size_t l)","8,085714","4,285714","2,2","1,6",14,12,51,5,11,4,8,4,True
local void tr_static_init(),"4,85","2,85","1,3333334","0,6666667",60,57,124,3,4,3,2,1,True
"R_API ut64 r_num_get(RNum * num, const char * str)","1,0136364","0,013636364",1,0,220,3,3,1,1,1,0,0,False
R_API char * r_sys_pid_to_path(int pid),"10,310925","6,882353","2,2857144","1,1428572",119,117,277,7,16,5,8,7,True
R_API void r_cons_set_utf8(bool b),5,"2,6666667","1,3333334",1,27,24,33,3,4,3,3,1,True
R_API int r_sys_clearenv(void),"8,77957","5,612903","1,8333334","1,3333334",31,29,95,6,11,5,8,5,True
R_API int r_sys_sleep(int secs),"5,2051287","2,5384617","2,6666667",0,13,11,31,3,8,3,0,3,False
"R_API int r_debug_continue_kill(RDebug * dbg, int sig)","4,234286","2,52","1,5714285","0,14285715",125,45,74,7,11,4,1,2,True
"static int handle_redirection(const char * cmd, bool in, bool out, bool err)","5,7058825","3,7058825","1,5714285","0,42857143",68,36,60,7,11,6,3,4,True
"static bool xnu_fill_info_thread(RDebug * dbg, xnu_thread_t * thread)","5,9256754","3,6756756","1,5","0,75",37,34,91,4,6,3,3,2,True
"R_API int r_core_cmd_pipe(RCore * core, char * radare_cmd, char * shell_cmd)","6,766667","3,6000001","2,3333333","0,8333333",75,45,92,6,14,4,5,6,True
"static bool r_debug_gcore(RDebug * dbg, RBuffer * dest)","8,63077","4,230769","3,8","0,6",13,11,85,5,19,8,3,4,True
R_API RThreadSemaphore * r_th_sem_new(unsigned int initial),"5,817073","3,317073","1,75","0,75",41,34,88,4,7,4,3,2,True
static int sp_open(struct gport * port),"6,1683674","3,9183674","1,5","0,75",98,96,137,4,6,3,3,2,True
"int linux_reg_write(RDebug * dbg, int type, const ut8 * buf, int size)","9,110119","5,395833","3,7142856",0,48,37,130,7,26,10,0,6,True
static void trace_me(void),"7,328947","3,5789473",3,"0,75",19,17,66,4,12,3,3,10,True
"static RIODesc * __open(RIO * io, const char * file, int rw, int mode)","3,7848837","1,5348837","2,25",0,86,33,75,4,9,3,0,3,True
"static int fork_and_ptraceme(RIO * io, int bits, const char * cmd) #2","5,522727","3,2727273","1,5","0,75",11,9,22,4,6,3,3,2,True
"void ZLIB_INTERNAL inflate_fast(strm, start) z_streamp strm; unsigned start;","1,516129","0,516129",1,0,248,32,32,4,4,2,0,0,False
"local unsigned read_buf(strm, buf, size) z_streamp strm; Bytef * buf; unsigned size;","1,2272727","0,22727273",1,0,22,5,5,1,1,1,0,0,False
"static int do_target_signal_to_host(enum target_signal oursig, int * oursig_ok)","52,964706","51,764706","1,1454545","0,054545455",238,224,265,55,63,56,3,1,True
local void make_crc_table(),"3,0402298","1,7068965",1,"0,33333334",58,33,41,3,3,2,1,0,True
R_API RSocket * r_socket_new(bool is_ssl) #2,"3,1547618","1,8214285",1,"0,33333334",28,17,24,3,3,3,1,0,True
"R_API bool r_socket_connect(RSocket * s, const char * host, const char * port, int proto, unsigned int timeout) #2","9,232767","6,804196","1,5714285","0,85714287",143,139,284,7,11,5,6,3,True
static bool checkExtract(),3,"1,5","1,5",0,12,9,15,2,3,2,0,1,False
"static int r_debug_native_bp(RBreakpoint * bp, RBreakpointItem * b, bool set)","6,857143","2,857143","3,75","0,25",21,15,85,4,15,7,1,3,True
"int ZEXPORT deflateSetDictionary(strm, dictionary, dictLength) z_streamp strm; const Bytef * dictionary; uInt dictLength;","1,05","0,05",1,0,60,3,3,1,1,1,0,1,False
R_API bool r_sys_aslr(int val),"4,9195404","2,586207",2,"0,33333334",29,25,71,3,6,5,1,1,True
void grub_abort(void),"1,25","0,25",1,0,12,3,3,1,1,1,0,1,False
R_API bool r_sandbox_enable(bool e),"3,7463768","2,4130435",1,"0,33333334",46,37,60,3,3,3,1,0,True
static char * r_debug_native_reg_profile(RDebug * dbg),"18,266666","10,266666","4,909091","3,090909",30,28,254,11,54,11,34,19,True
"static int r_debug_native_reg_write(RDebug * dbg, int type, const ut8 * buf, int size)","17,54697","12,613636","3,9333334",1,44,37,221,15,59,7,15,23,True
char * linux_reg_profile(RDebug * dbg),"19,435898","10,435898","7,818182","1,1818181",39,37,479,11,86,11,13,38,True
"static void setASLR(RRunProfile * r, int enabled)","9,287879","5,4545455","3,1666667","0,6666667",22,20,73,6,19,6,4,8,True
R_API RThreadLock * r_th_lock_new(bool recursive),"6,409091","2,909091","2,25","1,25",22,16,38,4,9,5,5,4,True
"static bool rc6_init(struct rc6_state * const state, const ut8 * key, int keylen, int direction)","1,9649123","0,6315789","1,3333334",0,38,8,12,3,4,2,0,1,False
"SDB_API bool sdb_json_set(Sdb * s, const char * k, const char * p, const char * v, ut32 cas)","1,03125","0,03125",1,0,128,4,4,1,1,1,0,1,False
"R_API int r_sys_truncate(const char * file, int sz)","5,9300003","3,68","1,5","0,75",25,23,39,4,6,3,3,2,True
R_API int r_th_lock_leave(RThreadLock * thl),"3,5","1,5",2,0,8,6,15,2,4,3,0,1,False
"void ZLIB_INTERNAL _tr_flush_block(s, buf, stored_len, last) deflate_state * s; charf * buf; ulg stored_len; int last;","3,3008657","2,0151515","1,2857143",0,66,19,27,7,9,4,0,2,True
R_API int r_run_config_env(RRunProfile * p),"13,1328125","11,1328125","1,8947369","0,10526316",256,150,230,19,36,8,2,13,True
"static int update_self_regions(RIO * io, int pid)","10,658576","5,8252425","3,6666667","1,1666666",103,100,530,6,22,5,7,11,True
R_API bool r_socket_is_connected(RSocket * s) #2,"5,9300003","3,68","1,5","0,75",25,23,46,4,6,3,3,2,True
R_API void r_th_sem_free(RThreadSemaphore * sem),"5,166667","2,6666667","1,75","0,75",18,12,30,4,7,4,3,2,True
"bool cdb_init(struct cdb * c, int fd)","3,8157895","2,3157895","1,5",0,38,22,36,4,6,2,0,2,False
uLong ZEXPORT zlibCompileFlags(),"14,17349","11,962963","1,3684211","0,84210527",81,51,140,19,26,19,16,4,True
"static bool xnu_thread_set_drx(RDebug * dbg, xnu_thread_t * thread)","13,761905","4,9285717","8,333333","0,5",56,46,372,6,50,12,3,13,True
static RList * r_debug_native_map_get(RDebug * dbg),"18,21692","11,633588","2,8333333","3,75",131,127,1008,12,34,7,45,20,True
R_API int r_sys_crash_handler(const char * cmd),"4,166667","2,5","1,3333334","0,33333334",18,15,23,3,4,3,1,3,True
"R_API int r_sys_run(const ut8 * buf, int len)","4,9591837","2,9591837","1,4","0,6",49,29,42,5,7,3,3,2,True
"R_API void * r_mem_mmap_resize(RMmap * m, ut64 newsize)","3,304348","1,3043479",2,0,23,15,26,2,4,3,0,1,False
static void print_fpu(void * f),"9,698051","6,840909",2,"0,85714287",88,86,305,7,14,4,6,5,True
"R_API bool r_th_getname(RThread * th, char * name, size_t len)","16,2","3,2","6,75","6,25",15,12,111,4,27,10,25,3,True
"int file_fsmagic(struct r_magic_set * ms, const char * fn, struct stat * sb)","16,407894","14,25","1,2105263","0,94736844",180,135,207,19,23,12,18,4,True
"R_API bool r_th_setname(RThread * th, const char * name)","17,28","5,2799997","6,1666665","5,8333335",25,22,197,6,37,8,35,10,True
"int linux_reg_read(RDebug * dbg, int type, ut8 * buf, int size)","16,266666","11,2","3,4","1,6666666",150,112,645,15,51,11,25,16,True
"static char * showfile(char * res, const int nth, const char * fpath, const char * name, int printfmt)","3,3417475","1,9417475","1,2","0,2",103,40,48,5,6,3,1,1,True
"static int bin_imports(RCore * r, int mode, int va, const char * name)","1,0420169","0,042016808",1,0,119,5,5,1,1,1,0,0,False
R_API RLang * r_lang_new(),"1,0967742","0,09677419",1,0,31,3,3,1,1,1,0,0,False
"static void gc_profile_dump_on(VALUE out, VALUE( * append)(VALUE, VALUE))","10,54232","8,724138",1,"0,8181818",87,69,102,11,11,5,9,0,True
"static int get_device_once(int * master, int * slave, char SlaveName[DEVICELEN], int nomesg, int fail)","21,877056","14,61039","4,4","2,8666666",154,150,1102,15,66,15,43,34,True
static inline uintptr_t count_utf8_lead_bytes_with_word(const uintptr_t * s),"4,098039","1,7647059",2,"0,33333334",17,10,33,3,6,4,1,1,True
"static inline int need_normalization(DIR * dirp, const char * path)","4,9848485","2,3181818","1,6666666",1,22,17,43,3,5,3,3,1,True
"static int quorem(Bigint * b, Bigint * S)","9,794637","7,8715596","1,3846154","0,53846157",109,66,166,13,18,4,7,5,True
static double getrusage_time(void),"6,4897957","4,4897957","1,4","0,6",49,44,67,5,7,6,3,1,True
"static ssize_t BSD_vfprintf(FILE * fp, const char * fmt0, va_list ap)","26,667582","24,417582","1,9090909","0,3409091",546,303,469,44,84,12,15,15,True
static VALUE socket_s_ip_address_list(VALUE self),"24,732052","11,815385","7,0833335","5,8333335",260,256,1931,12,85,12,70,35,True
"static void objspace_malloc_increase(rb_objspace_t * objspace, void * mem, size_t new_size, size_t old_size, enum memop_type type)","4,8848486","3,4848485",1,"0,4",66,46,56,5,5,3,2,0,True
static int check_tmpdir(const char * dir),"5,2","3,1999998","1,2","0,8",25,16,28,5,6,5,4,4,True
"static int cloexec_accept(int socket, struct sockaddr * address, socklen_t * address_len, int nonblock)","4,7372546","3,137255",1,"0,6",51,32,45,5,5,3,3,1,True
